('Number of classes:', 32)
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
the_input (InputLayer)       (None, 32, 120, 1)        0         
_________________________________________________________________
conv1 (Conv2D)               (None, 32, 120, 64)       640       
_________________________________________________________________
max1 (MaxPooling2D)          (None, 16, 60, 64)        0         
_________________________________________________________________
conv2 (Conv2D)               (None, 16, 60, 128)       73856     
_________________________________________________________________
max2 (MaxPooling2D)          (None, 8, 30, 128)        0         
_________________________________________________________________
conv3_1 (Conv2D)             (None, 8, 30, 256)        295168    
_________________________________________________________________
conv3_2 (Conv2D)             (None, 8, 30, 256)        590080    
_________________________________________________________________
max3 (MaxPooling2D)          (None, 4, 30, 256)        0         
_________________________________________________________________
conv4_1 (Conv2D)             (None, 4, 30, 512)        1180160   
_________________________________________________________________
conv4_2 (Conv2D)             (None, 4, 30, 512)        2359808   
_________________________________________________________________
max4 (MaxPooling2D)          (None, 2, 30, 512)        0         
_________________________________________________________________
permute_1 (Permute)          (None, 512, 2, 30)        0         
_________________________________________________________________
reshape (Reshape)            (None, 30, 1024)          0         
_________________________________________________________________
bidirectional_1 (Bidirection (None, 30, 512)           1967616   
_________________________________________________________________
bidirectional_2 (Bidirection (None, 30, 512)           1181184   
_________________________________________________________________
dense2 (Dense)               (None, 30, 33)            16929     
_________________________________________________________________
softmax (Activation)         (None, 30, 33)            0         
=================================================================
Total params: 7,665,441
Trainable params: 7,665,441
Non-trainable params: 0
_________________________________________________________________
Super epoch 1/50
	 -Trainning from 0 to 10000
	 Loss: 27.040
	 -Trainning from 10000 to 20000
	 Loss: 16.799
	 -Trainning from 20000 to 30000
	 Loss: 15.897
	 -Trainning from 30000 to 40000
	 Loss: 14.995
	 -Trainning from 40000 to 50000
	 Loss: 14.540
	 -Trainning from 50000 to 60000
	 Loss: 13.798
	 -Trainning from 60000 to 70000
	 Loss: 13.025
	 -Trainning from 70000 to 80000
	 Loss: 11.986
	 -Trainning from 80000 to 90000
	 Loss: 10.883

 --Mean edit distance: 3.871, mean normalized edit distance: 0.827
Super epoch 2/50
	 -Trainning from 0 to 10000
	 Loss: 9.999
	 -Trainning from 10000 to 20000
	 Loss: 8.871
	 -Trainning from 20000 to 30000
	 Loss: 7.861
	 -Trainning from 30000 to 40000
	 Loss: 6.955
	 -Trainning from 40000 to 50000
	 Loss: 6.365
	 -Trainning from 50000 to 60000
	 Loss: 5.554
	 -Trainning from 60000 to 70000
	 Loss: 4.969
	 -Trainning from 70000 to 80000
	 Loss: 4.448
	 -Trainning from 80000 to 90000
	 Loss: 4.023

 --Mean edit distance: 2.265, mean normalized edit distance: 0.489
Super epoch 3/50
	 -Trainning from 0 to 10000
	 Loss: 3.724
	 -Trainning from 10000 to 20000
	 Loss: 3.447
	 -Trainning from 20000 to 30000
	 Loss: 3.045
	 -Trainning from 30000 to 40000
	 Loss: 2.835
	 -Trainning from 40000 to 50000
	 Loss: 2.707
	 -Trainning from 50000 to 60000
	 Loss: 2.519
	 -Trainning from 60000 to 70000
	 Loss: 2.290
	 -Trainning from 70000 to 80000
	 Loss: 2.150
	 -Trainning from 80000 to 90000
	 Loss: 2.019

 --Mean edit distance: 1.455, mean normalized edit distance: 0.316
Super epoch 4/50
	 -Trainning from 0 to 10000
	 Loss: 1.920
	 -Trainning from 10000 to 20000
	 Loss: 1.806
